trap nid,code,trap type,latitude,longitude,easting,northing,line,line_colour,distance_m
28433140,DHD016,DOC 200,-43.63387726976,172.71571946297,1577068.37,5168751.04,Green,#7BD148,0.39
28431421,DHD017,DOC 200,-43.632257268605,172.71385977127,1576917.737,5168930.443,Green,#7BD148,1.05
28431027,DHD018,DOC 200,-43.63346448648,172.71203271359,1576770.817,5168795.859,Green,#7BD148,3.74
28430315,DHD019,DOC 200,-43.634933323617,172.71078540852,1576670.77,5168632.38,Green,#7BD148,0.91
28429869,DHD020,DOC 200,-43.634971879964,172.71199842609,1576768.632,5168628.438,Green,#7BD148,4.78
28710776,DHM016,Mouse trap,-43.63388,172.71572,1577068.414,5168750.737,Green,#7BD148,0.51
28710778,DHM017,Mouse trap,-43.63226,172.71386,1576917.756,5168930.14,Green,#7BD148,0.91
28710782,DHM018,Mouse trap,-43.63346,172.71203,1576770.596,5168796.357,Green,#7BD148,3.24
28710787,DHM019,Mouse trap,-43.63493,172.71079,1576671.139,5168632.75,Green,#7BD148,1.16
28710803,DHM020,Mouse trap,-43.63497,172.712,1576768.758,5168628.647,Green,#7BD148,4.99
28433191,DHR016,D-Rat,-43.634039499215,172.71650014741,1577131.405,5168733.238,Green,#7BD148,1.21
28432969,DHR017,D-Rat,-43.632579970785,172.71458382568,1576976.268,5168894.805,Green,#7BD148,0.65
28431313,DHR018,D-Rat,-43.632578404769,172.71285001319,1576836.405,5168894.497,Green,#7BD148,0.43
28430504,DHR019,D-Rat,-43.634022736592,172.7111319812,1576698.374,5168733.607,Green,#7BD148,3.62
28430064,DHR020,D-Rat,-43.635518485815,172.7108758961,1576678.295,5168567.417,Green,#7BD148,1.59
28429702,DHR021,D-Rat,-43.634699491263,172.71288253661,1576839.843,5168658.936,Green,#7BD148,1.16
28492340,DHD011,DOC 200,-43.628673134139,172.71770560004,1577226.617,5169329.562,Pink,#F691B2,2.44
28434593,DHD012,DOC 200,-43.630617307242,172.71943340401,1577366.733,5169114.113,Pink,#F691B2,1.44
28434234,DHD013,DOC 200,-43.632020776282,172.72102691699,1577495.805,5168958.676,Pink,#F691B2,2.69
28433835,DHD014,DOC 200,-43.63330059218,172.72064848151,1577465.756,5168816.436,Pink,#F691B2,1.05
28433290,DHD015,DOC 200,-43.633927648189,172.71763801575,1577223.15,5168745.973,Pink,#F691B2,14.02
28710691,DHM011,Mouse trap,-43.62867,172.71771,1577226.971,5169329.911,Pink,#F691B2,2.94
28710768,DHM012,Mouse trap,-43.63062,172.71943,1577366.46,5169113.813,Pink,#F691B2,1.04
28710770,DHM013,Mouse trap,-43.63202,172.72103,1577496.054,5168958.763,Pink,#F691B2,2.94
28710773,DHM014,Mouse trap,-43.6333,172.72065,1577465.878,5168816.502,Pink,#F691B2,1.06
28710774,DHM015,Mouse trap,-43.633925545131,172.71763265133,1577222.716,5168746.205,Pink,#F691B2,14.41
28492621,DHR011,D-Rat,-43.627424742613,172.71800851465,1577250.584,5169468.292,Pink,#F691B2,11.1
28492126,DHR012,D-Rat,-43.62952654218,172.71874152926,1577310.509,5169235.065,Pink,#F691B2,1.42
28434344,DHR013,D-Rat,-43.631392127888,172.7203657196,1577442.233,5169028.315,Pink,#F691B2,2.52
28434048,DHR014,D-Rat,-43.632853659692,172.72124884799,1577514.019,5168866.235,Pink,#F691B2,4.66
28434728,DHR015,D-Rat,-43.633768004686,172.71910983033,1577341.814,5168764.106,Pink,#F691B2,0.71
28492806,DHT006,Trapinator,-43.62720728912,172.71785859719,1577238.407,5169492.401,Pink,#F691B2,4.23
28434364,DHT007,Trapinator,-43.631323799007,172.72034955308,1577440.903,5169035.899,Pink,#F691B2,1.24
28434193,DHT008,Trapinator,-43.632559074835,172.72120429884,1577510.315,5168898.94,Pink,#F691B2,4.55
28434016,DHT009,Trapinator,-43.632852900961,172.72120228569,1577510.262,5168866.307,Pink,#F691B2,0.93
27837740,SPD-001,DOC 200,-43.625669219057,172.73866467666,1578916.388,5169668.713,Pink,#F691B2,1.53
27837860,SPD-002,DOC 200,-43.624481593832,172.73888509268,1578933.756,5169800.667,Pink,#F691B2,8.5
